,rooms,bedrooms,population,households,value,inland
0,880,129.0,322.0,126,452600,0
1,7099,1106.0,2401.0,1138,358500,0
2,1467,190.0,496.0,177,352100,1
3,1274,235.0,558.0,219,341300,1
4,1627,280.0,565.0,259,342200,1
5,1966,347.0,793.0,331,152500,1
6,919,213.0,413.0,193,269700,1
7,2535,489.0,1094.0,514,299200,1
8,3104,687.0,1157.0,647,241400,0
9,2555,665.0,1206.0,595,226700,0
10,3549,707.0,1551.0,714,261100,1
11,2202,434.0,910.0,402,281500,0
12,3503,752.0,1504.0,734,241800,1
13,2491,474.0,1098.0,468,213500,0
15,2643,626.0,1212.0,620,159200,1
16,1120,283.0,697.0,264,140000,0
18,1228,293.0,648.0,303,155500,1
19,2239,455.0,990.0,419,158700,0
20,1503,298.0,690.0,275,162900,1
21,751,184.0,409.0,166,147500,1
22,1639,367.0,929.0,366,159800,1
23,2436,541.0,1015.0,478,113900,0
24,1688,337.0,853.0,325,99700,1
25,2224,437.0,1006.0,422,132600,1
26,535,123.0,317.0,119,107500,0
27,1130,244.0,607.0,239,93800,0
28,1898,421.0,1102.0,397,105500,1
29,2082,492.0,1131.0,473,108900,0
30,729,160.0,395.0,155,132000,1
31,1916,447.0,863.0,378,122300,1
32,2153,481.0,1168.0,441,115200,0
33,1922,409.0,1026.0,335,110400,0
34,1655,366.0,754.0,329,104900,0
35,2665,574.0,1258.0,536,109700,1
36,1215,282.0,570.0,264,97200,1
37,1798,432.0,987.0,374,104500,0
38,1511,390.0,901.0,403,103900,1
39,1470,330.0,689.0,309,191400,1
40,2432,715.0,1377.0,696,176000,1
41,1665,419.0,946.0,395,155400,1
42,936,311.0,517.0,249,150000,1
43,713,202.0,462.0,189,118800,0
44,950,202.0,467.0,198,188800,0
45,1443,311.0,660.0,292,184400,0
46,1656,420.0,718.0,382,182300,1
48,1007,312.0,558.0,253,137500,1
49,624,195.0,423.0,160,187500,0
50,946,375.0,700.0,352,112500,0
51,896,453.0,735.0,438,171900,1
52,1868,456.0,1061.0,407,93800,1
53,3221,853.0,1959.0,720,97500,1
54,1630,456.0,1162.0,400,104200,0
55,1170,235.0,701.0,233,87500,1
56,945,243.0,576.0,220,83100,0
57,1238,288.0,622.0,259,87500,0
58,1489,335.0,728.0,244,85300,0
59,1387,341.0,1074.0,304,80300,1
60,158,43.0,94.0,57,60000,1
61,1121,211.0,554.0,187,75700,1
62,135,29.0,86.0,23,75000,1
63,760,190.0,377.0,122,86100,1
64,1224,237.0,521.0,159,76100,1
65,828,182.0,392.0,133,73500,1
66,1010,209.0,604.0,187,78400,1
67,1455,354.0,788.0,332,84400,0
68,1027,244.0,492.0,147,81300,1
69,572,109.0,274.0,82,85000,0
70,2801,644.0,1823.0,611,129200,0
71,768,152.0,392.0,127,82500,0
72,935,297.0,582.0,277,95200,1
73,844,204.0,560.0,152,75000,1
74,12,4.0,18.0,7,67500,1
75,835,161.0,290.0,133,137500,1
76,1237,462.0,762.0,439,177500,0
77,2914,562.0,1236.0,509,102100,0
78,1207,243.0,721.0,207,108300,1
79,1745,374.0,1054.0,325,112500,1
80,684,176.0,344.0,155,131300,0
81,924,289.0,609.0,289,162500,1
82,210,56.0,183.0,56,112500,1
84,386,164.0,346.0,155,137500,0
85,948,184.0,467.0,169,118800,1
86,773,143.0,377.0,115,98200,1
87,880,451.0,582.0,380,118800,1
88,875,348.0,546.0,330,162500,0
89,105,42.0,125.0,39,137500,1
90,249,78.0,396.0,85,500001,0
91,994,392.0,800.0,362,162500,1
92,215,87.0,904.0,88,137500,1
93,96,31.0,191.0,34,162500,0
94,1055,347.0,718.0,302,187500,1
95,1715,623.0,1327.0,467,179200,1
96,5329,2477.0,3469.0,2323,130000,1
97,4596,1331.0,2048.0,1180,183800,1
